"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Tim Draper","Vuru","1,000,000","seed","2015-04-29","Details",""
"2","Naval Ravikant","ooomf","2,100,000","undisclosed","2014-04-10","Details",""
"3","BOLDstart Ventures","ooomf","2,100,000","undisclosed","2014-04-10","Details",""
"4","Real Ventures","Seevibes","1,000,000","seed","2014-05-26","Details",""
"5","FounderFuel","LiveRides","27,000","seed","2012-05-01","Details",""
"6","BDC Capital","GradeSlam","1,600,000","seed","2016-08-25","Details",""
"7","FounderFuel","Swift Identity","50,000","seed","2013-04-15","Details",""
"8","Ian Jeffrey","Seevibes","200,000","seed","2012-02-28","Details",""
"9","FounderFuel","Binder","50,000","seed","2014-12-01","Details",""
"10","FounderFuel","Appifier","325,000","seed","2012-05-23","Details","Exited"
"11","BDC Venture Capital","The Transit App","2,400,000","seed","2015-12-23","Details",""
"12","Real Ventures","CrowdMedia","150,000","convertible_note","2013-07-01","Details",""
"13","FounderFuel","International Gaming League","22,000","seed","2012-12-01","Details",""
"14","FounderFuel","Shoparound","22,000","seed","2012-05-01","Details",""
"15","FounderFuel","Seevibes","200,000","seed","2012-02-28","Details",""
"16","Real Ventures","Notesolution","1,600,000","venture","2013-10-21","Details",""
"17","FounderFuel","OpenCare","1,500,000","seed","2013-08-29","Details",""
"18","Real Ventures","Login Radius","1,300,000","venture","2014-02-12","Details",""
"19","RBC Generator Fund","Binder","50,000","seed","2014-12-01","Details",""
"20","FundersClub","Oohlala","120,000","seed","2016-08-24","Details",""
"21","FounderFuel","Now In Store","50,000","seed","2013-04-15","Details",""
"22","NXTP Labs","Urbita","25,000","seed","2012-03-01","Details","Dead"
"23","Thayer Ventures","Flatbook","10,000,000","venture","2016-09-21","Details",""
"24","BOLDstart Ventures","ooomf","2,100,000","seed","2013-12-17","Details",""
"25","FounderFuel","Listn","500,000","seed","2013-11-05","Details",""
"26","Real Ventures","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"27","Real Ventures","Sharethebus","1,500,000","venture","2016-02-18","Details",""
"28","Y Combinator","Oohlala","120,000","seed","2016-08-24","Details",""
"29","FundersClub","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"30","BDC Venture Capital","Login Radius","1,300,000","venture","2014-02-12","Details",""
"31","FounderFuel","PayPhoneApp","22,000","seed","2012-05-01","Details",""
"32","Birchmere Ventures","GradeSlam","1,600,000","seed","2016-08-25","Details",""
"33","Alan MacIntosh","Seevibes","200,000","seed","2012-02-28","Details",""
"34","Spark Capital","Flatbook","10,000,000","venture","2016-09-21","Details",""
"35","Real Ventures","OpenCare","1,500,000","seed","2013-08-29","Details",""
"36","Real Ventures","Oohlala","","seed","2012-03-09","Details",""
"37","VTF Capital (fka VegasTechFund)","Zora","250,000","venture","2015-09-10","Details",""
"38","FounderFuel","Mosaic","1,500,000","seed","2016-08-14","Details",""
"39","Simon Whitfield","Vanhawks","1,600,000","seed","2015-03-04","Details","Exited"
"40","BDC Venture Capital","CrowdMedia","150,000","convertible_note","2013-07-01","Details",""
"41","Launchpad LA","Listn","500,000","seed","2013-11-05","Details",""
"42","Real Ventures","CrowdMedia","200,000","seed","2014-09-15","Details",""
"43","FounderFuel","Login Radius","1,300,000","venture","2014-02-12","Details",""
"44","BMW i Ventures","Sharethebus","5,000,000","venture","2017-04-05","Details",""
"45","Accel","The Transit App","2,400,000","seed","2015-12-23","Details",""
"46","Maple Leaf Angels","Sharethebus","750,000","seed","2015-08-24","Details",""
"47","FounderFuel","MyCustomizer","50,000","seed","2012-12-01","Details",""
