"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Global Insurance Accelerator","Smart Drivinc","40,000","seed","2016-02-10","Details",""
"2","Alchemist Accelerator","Tyche","28,000","seed","2014-02-19","Details",""
"3","Global Insurance Accelerator","ClinicNote","40,000","seed","2015-04-01","Details",""
"4","Global Insurance Accelerator","Drive Spotter","40,000","seed","2015-04-01","Details",""
"5","Global Insurance Accelerator","WeSavvy","40,000","seed","2016-02-10","Details",""
"6","Global Insurance Accelerator","LifeDB","40,000","seed","2015-04-01","Details",""
"7","Invest Nebraska","Drive Spotter","500,000","convertible_note","2017-04-14","Details",""
"8","Global Insurance Accelerator","Fluttrbox","40,000","seed","2016-02-10","Details",""
"9","Global Insurance Accelerator","Isaac Re","40,000","seed","2016-02-10","Details",""
"10","Global Insurance Accelerator","Telematic","40,000","seed","2016-02-10","Details",""
"11","VTF Capital (fka VegasTechFund)","Fluttrbox","40,000","seed","2016-02-10","Details",""
"12","Right Side Capital Management","Drive Spotter","100,000","convertible_note","2016-06-17","Details",""
"13","Global Insurance Accelerator","CityMile","40,000","seed","2015-04-01","Details",""
"14","Grinnell Mutual Reinsurance","Drive Spotter","750,000","seed","2016-03-09","Details",""
"15","Global Insurance Accelerator","Insurance Social.Media","40,000","seed","2016-02-10","Details",""
"16","Grinnell Mutual Reinsurance","Drive Spotter","500,000","convertible_note","2017-04-14","Details",""
"17","Global Insurance Accelerator","Tyche","40,000","seed","2015-04-01","Details",""
