"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Launch Fund","Momunt","500,000","seed","2015-06-01","Details",""
"2","Daniel Curran","Red Tricycle","","venture","2015-02-27","Details",""
"3","Jason Calacanis","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"4","Ryan Allis","Bento","1,500,000","seed","2015-06-25","Details",""
"5","Daniel Curran","Huckle","","venture","2015-04-29","Details",""
"6","Aslanoba Capital","Bento","1,500,000","seed","2015-06-25","Details",""
"7","Social Starts","Momunt","500,000","seed","2015-06-01","Details",""
"8","Daniel Curran","Bento","1,500,000","seed","2015-06-25","Details",""
"9","Marc Bell Ventures","Bento","1,500,000","seed","2015-06-25","Details",""
"10","CrunchFund","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"11","Bob Pittman","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"12","Jason Calacanis","Huckle","850,000","seed","2015-05-01","Details",""
"13","Marc Bell Ventures","Red Tricycle","","venture","2015-02-27","Details",""
"14","Klaus von Sayn-Wittgenstein","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"15","500 Startups","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"16","Social Capital","Momunt","500,000","seed","2015-06-01","Details",""
"17","zulily","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"18","Right Side Capital Management","RushTix","250,000","convertible_note","2016-05-31","Details",""
"19","Slow Ventures","Bento","1,500,000","seed","2015-06-25","Details",""
"20","Expansion Venture Capital","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"21","FundersClub","Bento","1,500,000","seed","2015-06-25","Details",""
"22","Jason Calacanis","Bento","1,500,000","seed","2015-06-25","Details",""
"23","500 Mobile Collective","Bento","1,500,000","seed","2015-06-25","Details",""
"24","Maveron","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"25","Social Capital","Huckle","850,000","seed","2015-05-01","Details",""
"26","Richmond Park Partners","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
