"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Blueprint Health","GroupHub","20,000","seed","2015-02-05","Details",""
"2","Blueprint Health","Psocratic","20,000","seed","2015-07-01","Details",""
"3","Blueprint Health","Meddik","750,000","seed","2012-05-24","Details",""
"4","Blueprint Health","Healthy Bytes","20,000","seed","2015-02-05","Details",""
"5","FCA Venture Partners","MediQuire","4,000,000","venture","2016-04-04","Details",""
"6","Blueprint Health","Nurep","20,000","seed","2013-01-01","Details",""
"7","Hudson River Capital Partners","Stirplate","575,000","seed","2014-12-14","Details",""
"8","500 Startups","SimplifiMed","125,000","seed","2016-09-09","Details",""
"9","Blueprint Health","Signifikance","20,000","seed","2015-02-05","Details",""
"10","Blueprint Health","MediQuire","20,000","seed","2014-01-01","Details",""
"11","Chris Dixon","Meddik","750,000","seed","2012-05-24","Details",""
"12","Primary Venture Partners","CredSimple","2,738,150","seed","2015-07-02","Details",""
"13","StartX","Nurep","1,700,000","seed","2015-01-28","Details",""
"14","Blueprint Health","Touch Surgery","20,000","seed","2013-01-01","Details",""
"15","HealthX Ventures","Moving Analytics","1,100,000","seed","2016-06-01","Details",""
"16","Blueprint Health","PulseBeat","20,000","seed","2014-01-01","Details",""
"17","Blueprint Health","Bind Health","20,000","seed","2015-07-01","Details","Exited"
"18","Blueprint Health","IntelligentM","","seed","2013-01-14","Details",""
"19","Great Oaks Venture Capital","Meddik","750,000","seed","2012-05-24","Details",""
"20","Rock Creek Capital","BoardVitals","1,100,000","venture","2015-07-29","Details",""
"21","Blueprint Health","InquisitHealth","20,000","seed","2012-03-29","Details",""
"22","Blueprint Health","DocASAP","20,000","seed","2013-01-01","Details",""
"23","Bowery Capital","CredSimple","2,000,000","seed","2016-11-24","Details",""
"24","Blueprint Health","Wellsbi","20,000","seed","2016-05-01","Details",""
"25","Cue Ball, LLC","ProofPilot","1,850,000","seed","2016-05-10","Details",""
"26","Blueprint Health","Crediyo","20,000","seed","2015-07-01","Details",""
"27","Mundi Ventures","RubiconMD","4,000,000","venture","2016-06-01","Details",""
"28","Blueprint Health","OhMD","","seed","2016-05-01","Details",""
"29","Blueprint Health","PadInMotion","20,000","seed","2013-01-14","Details",""
"30","Bowery Capital","CredSimple","2,738,150","seed","2015-07-02","Details",""
"31","Blueprint Health","EMBI","20,000","seed","2012-07-19","Details",""
"32","Peter Verrillo","EnHatch","250,000","seed","2012-09-20","Details",""
"33","Blueprint Health","Keona Health","20,000","seed","2013-01-01","Details",""
"34","Blueprint Health","Luminate Health","1,000,000","seed","2013-10-08","Details",""
"35","John Levinson","Twiage","1,250,000","seed","2016-02-01","Details",""
"36","Blueprint Health","SymbiosisHealth","20,000","seed","2012-07-19","Details","Exited"
"37","Blueprint Health","MediQuire","4,000,000","venture","2016-04-04","Details",""
"38","Blueprint Health","ThriveStreams","20,000","seed","2016-05-01","Details",""
"39","Active Venture Partners","Healthify","6,500,000","venture","2017-07-11","Details",""
"40","Amino Capital","Nurep","1,700,000","seed","2015-01-28","Details",""
"41","United Talent Agency","Moving Analytics","20,000","seed","2013-05-01","Details",""
"42","Meridian Street Capital","CredSimple","2,000,000","seed","2016-11-24","Details",""
