"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","The Yield Lab","TerViva","","seed","2015-01-20","Details",""
"2","NXTP Labs","Solapa4","25,000","seed","2014-03-01","Details",""
"3","The Yield Lab","Solapa4","1,200,000","convertible_note","2016-07-19","Details",""
"4","Ewing Irrigation & Landscape Supply","Holganix","3,000,000","venture","2017-01-13","Details",""
"5","Missouri Technology Corporation","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"6","The Yield Lab","Holganix","100,000","seed","2015-01-20","Details",""
"7","Michael Roth","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"8","Cultivation Capital","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"9","Missouri Technology Corporation","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"10","BioGenerator","APSE","","seed","2012-01-01","Details",""
"11","St. Louis Arch Angels","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"12","St. Louis Arch Angels","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"13","Prelude Ventures, LLC","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"14","Ben Franklin Technology Partners of Southeastern Pennsylvania","Holganix","250,000","venture","2011-02-15","Details",""
"15","Tomás Peña","Solapa4","1,200,000","seed","2015-12-30","Details",""
"16","SixThirty - FinTech Accelerator","Solapa4","1,200,000","convertible_note","2016-07-19","Details",""
"17","Evans Properties","TerViva","2,000,000","venture","2015-08-25","Details",""
"18","BioGenerator","Solapa4","1,200,000","seed","2015-12-30","Details",""
"19","BioGenerator","APSE","350,000","seed","2015-03-04","Details",""
"20","Monsanto Growth Ventures","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"21","The Yield Lab","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"22","St. Louis County Port Authority","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"23","The Yield Lab","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"24","The Yield Lab","APSE","100,000","seed","2015-12-01","Details",""
"25","Prolog Ventures","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"26","Cultivation Capital","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"27","Prelude Ventures, LLC","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"28","BioGenerator","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"29","iSELECT FUND","Holganix","3,000,000","venture","2017-01-13","Details",""
"30","Prolog Ventures","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"31","Monsanto Growth Ventures","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"32","The Yield Lab","AGERpoint","50,000","convertible_note","2015-01-26","Details",""
"33","Syngenta Ventures","Solapa4","1,200,000","convertible_note","2016-07-19","Details",""
"34","The Yield Lab","Solapa4","1,200,000","seed","2015-12-30","Details",""
"35","Cultivation Capital","Solapa4","1,200,000","convertible_note","2016-07-19","Details",""
"36","Black Creek Group","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"37","BioGenerator","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"38","Originate Ventures","Holganix","1,024,999","venture","2013-03-05","Details",""
"39","Helix Fund","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"40","Ben Franklin Technology Partners of Southeastern Pennsylvania","Holganix","200,000","venture","2012-01-19","Details",""
"41","Allen Angel Capital Education Program (AACE)","APSE","100,000","seed","2015-12-01","Details",""
"42","BioGenerator","Solapa4","1,200,000","convertible_note","2016-07-19","Details",""
"43","Cygnus Capital","Solapa4","1,200,000","seed","2015-12-30","Details",""
"44","Laura Lukasik","Solapa4","1,200,000","seed","2015-12-30","Details",""
